## Sui Xin (Green White Aggro)
## Grand Prix Kuala Lumpur - Top 8 Standard

8  Forest
4  Gavony Township
4  Plains
4  Razorverge Thicket
4  Sunpetal Grove

4  Avacyn's Pilgrim
4  Birds of Paradise
2  Blade Splicer
1  Geist-Honored Monk
4  Hero of Bladehold
4  Mirran Crusader
4  Strangleroot Geist

2  Dismember
2  Mortarpod
3  Oblivion Ring
2  Sword of War and Peace

1 Elspeth Tirel
3 Garruk Relentless

SB: 2  Celestial Purge
SB: 1  Elesh Norn, Grand Cenobite
SB: 1  Fiend Hunter
SB: 2  Garruk, Primal Hunter
SB: 1  Naturalize
SB: 1  Oblivion Ring
SB: 2  Ray of Revelation
SB: 2  Sword of Feast and Famine
SB: 1  Sword of War and Peace
SB: 2  Thrun, the Last Troll
