## Tim Fondum
## GP Brisbane Top 8

8  Forest
4  Gavony Township
4  Plains
4  Razorverge Thicket
4  Sunpetal Grove

3  Avacyn's Pilgrim
4  Birds of Paradise
4  Blade Splicer
2  Geist-Honored Monk
4  Hero of Bladehold
2  Mikaeus, the Lunarch
2  Viridian Emissary
1  Wurmcoil Engine

3  Elspeth Tirel
3  Garruk Relentless
2  Mortarpod
4  Oblivion Ring
2  Overrun

SB: 1  Elesh Norn, Grand Cenobite
SB: 1  Garruk, Primal Hunter
SB: 1  Inkmoth Nexus
SB: 1  Mortarpod
SB: 3  Naturalize
SB: 2  Surgical Extraction
SB: 1  Sword of Feast and Famine
SB: 2  Sword of War and Peace
SB: 3  Thrun, the Last Troll
