## Juza, Martin
## 2011 GP Hiroshima Top 8

8  Forest
4  Gavony Township
4  Plains
4  Razorverge Thicket
4  Sunpetal Grove

4  Avacyn's Pilgrim
4  Birds of Paradise
2  Blade Splicer
2  Geist-Honored Monk
4  Hero of Bladehold
2  Mikaeus, the Lunarch
4  Mirran Crusader

2  Mortarpod
3  Oblivion Ring
3  Overrun
3  Elspeth Tirel
3  Garruk Relentless

SB: 2  Celestial Purge
SB: 1  Elesh Norn, Grand Cenobite
SB: 1  Fiend Hunter
SB: 1  Garruk Relentless
SB: 1  Garruk, Primal Hunter
SB: 2  Naturalize
SB: 1  Oblivion Ring
SB: 2  Sword of Feast and Famine
SB: 2  Sword of War and Peace
SB: 2  Thrun, the Last Troll
