## Richard Bland
## 2011 Worlds Top 8, Standard

8  Forest
4  Gavony Township
5  Plains
4  Razorverge Thicket
4  Sunpetal Grove

4  Avacyn's Pilgrim
4  Birds of Paradise
4  Blade Splicer
1  Geist-Honored Monk
4  Hero of Bladehold
2  Mirran Crusader

3  Elspeth Tirel
4  Garruk Relentless
2  Gut Shot
3  Mortarpod
4  Oblivion Ring

SB: 2  Celestial Purge
SB: 2  Gut Shot
SB: 1  Mikaeus, the Lunarch
SB: 2  Naturalize
SB: 2  Sword of Feast and Famine
SB: 1  Sword of War and Peace
SB: 2  Thrun, the Last Troll
SB: 3  Timely Reinforcements
